"ts","193.ImageMeanValue_m","193.SunMeanIntensity_m","193.SunVarIntensity_m","193.Total_Nubmers_of_CH_m","193.Relative_CH_Area_m","193.Relative_CH_CorrectSphereArea_m","211.ImageMeanValue_m","211.SunMeanIntensity_m","211.SunVarIntensity_m","211.Total_Nubmers_of_CH_m","211.Relative_CH_Area_m","211.Relative_CH_CorrectSphereArea_m","density_mean","density_noise_sd","velocity_mean","velocity_noise_sd","temperature_mean","temperature_noise_sd"
3638,272.183750505425,32.8249554306939,766.604003277344,67.0848054432115,1.48710884565434,1.21838826016792,126.270063614529,29.8799363194566,833.935398329271,297.124129763503,3.47492314139643,2.60145214282095,4.52617420121486,1.15966213755886,344.826118188074,3.99630481777934,32769.7331298,22297.5799979551
3639,272.584440015094,32.8793484851127,771.313454864871,66.0033440211522,1.45998600660816,1.18441508604595,126.462616027703,29.9244907773989,839.309722810209,294.664682387122,3.41210523258193,2.54544941182949,4.57407655535302,1.2580284916845,344.88548890583,4.15670659173053,32174.5739464227,22886.8504961248
3640,272.985562751787,32.9339741223635,776.162253712856,64.9640223944541,1.43409226960886,1.15194578381747,126.656371171736,29.9697992619729,844.908618452029,292.198835582475,3.35056268286805,2.4911483728745,4.62335211845299,1.36325388676261,344.9598312743,4.33221369609623,31611.8002701277,23504.5111922491
3641,273.386973521232,32.9888411380056,781.149162128425,63.9675410371027,1.40946692023649,1.12103174163047,126.851234514798,30.0158913408373,850.731771476762,289.730928980647,3.29046062983092,2.43869769693009,4.67386016269322,1.47565579744195,345.04558442388,4.52328159490126,31081.9015523132,24150.3912141083
3642,273.788593889928,33.0439530569469,786.273105029186,63.0139411300392,1.38611811064131,1.09168034894815,127.047111525061,30.0627965816507,856.778868106446,287.265302212719,3.23196421104657,2.3882460549703,4.72545996025223,1.5955516983715,345.139187484967,4.73036575217069,30585.3672443771,24824.3196894838
3643,274.190362198229,33.0993120798275,791.533048189145,62.1030982047656,1.36404617060203,1.06388794042664,127.243907670695,30.1105445520718,863.049594563117,284.806294909773,3.17523856409102,2.33994211796919,4.77801078330851,1.72325906420014,345.237079587957,4.95392163192952,30122.6867977172,25526.1257461565
3644,274.592216786485,33.1549204072875,796.9279573823,61.2348877927848,1.34325142989732,1.03765085072204,127.44152841987,30.1591648197592,869.543637068807,282.358246702895,3.12044882654039,2.29393455690085,4.83137190404057,1.85909536957676,345.335699863247,5.19440469820273,29694.3496637314,26255.6385119076
3645,274.994095995051,33.2107802399671,802.456798382656,60.4091854255982,1.32373421830584,1.01296541449041,127.639879240758,30.2086869523716,876.260681845551,279.925497223167,3.06776013597072,2.25037204273935,4.88540259462689,2.00337808915028,345.431487441233,5.45227041501533,29300.8452938177,27012.687114518
3646,275.395938164278,33.2668937785065,808.118536964215,59.6258666347077,1.30549486560628,0.989827966387832,127.838865601529,30.2591405175676,883.200415115388,277.512386101671,3.01733762995803,2.20940324645871,4.93996212724601,2.15642469756965,345.520881452311,5.72797424639243,28942.6631393739,27797.1006817691
3647,275.797681634519,33.3232632235457,813.91213890098,58.8848069516152,1.2885337015773,0.968234841070382,128.038392970354,30.310555083006,890.362523100347,275.123252969492,2.96934644607842,2.17117683903306,4.99490977407636,2.31855266948362,345.600321026879,6.02197165635877,28620.2926517981,28608.7083414411
3648,276.199264746126,33.379890775725,819.836569966954,58.1858819078225,1.27285105599757,0.948182373194137,128.238366815402,30.3629602163453,897.746692022467,272.762437457712,2.92395172190795,2.13584149143644,5.05010480729646,2.49007947954117,345.666245295332,6.33471810893947,28334.2232824882,29447.3392213154
3649,276.600625839452,33.4367786356845,825.890795936142,57.5289670348314,1.25844725864576,0.929666897415167,128.438692604846,30.4163854852442,905.352608103784,270.434279197414,2.88131859502264,2.1035458746429,5.10540649908482,2.6713226023912,345.715093388066,6.66666906815951,28084.944482842,30312.8224491731
3650,277.001703254849,33.4939290040644,832.073782582541,56.9139378641442,1.24532263930054,0.912684748389567,128.639275806856,30.4708604573614,913.179957566328,268.143117819681,2.84161220299859,2.07443865962654,5.16067412161993,2.86259951268259,345.74330443548,7.0182799980439,27872.9457042575,31204.9871527952
3651,277.40243533267,33.5513440815047,838.384495680156,56.3406699272626,1.23347752774059,0.897232260773406,128.840021889602,30.5264147003555,921.228426632137,265.893292955598,2.80499768341183,2.04866851736141,5.21576694708031,3.06422768506435,345.747317567968,7.3900063626178,27698.7163981325,32123.6624599631
3652,277.802760413267,33.6090260686456,844.82190100299,55.8090387556884,1.22291225374456,0.88330576922276,129.040836321255,30.5830777818853,929.497701523249,263.689144236244,2.77164017383842,2.02638411882156,5.27054424764441,3.27652459418517,345.723571915927,7.78230362590586,27562.7460158651,33068.6774984569
3653,278.202616836992,33.6669771661273,851.384964325046,55.3189198809236,1.21362714709114,0.870901608393708,129.241624569986,30.6408792696093,937.987468461692,261.535011292707,2.74170481185445,2.0077341349811,5.32486529549074,3.49980771469406,345.668506609754,8.19562725193324,27465.5240088532,34039.8613960581
3654,278.601942944199,33.72519957459,858.07265142033,54.8701888344698,1.20562253755899,0.860016112942323,129.442292103965,30.6998487311862,946.697413669504,259.435233756067,2.71535673503594,1.99286723681406,5.37858936279781,3.7343945212399,345.578560779845,8.63043270472492,27407.5398284946,35037.0432805477
3655,279.000677075239,33.7836954946737,864.883928062836,54.4627211478293,1.19889875492679,0.850645617524692,129.642771788222,30.7600090614156,955.62662659015,257.393399990173,2.69271644087826,1.98188582294304,5.43157572174411,3.98060248847159,345.450173556596,9.08717544830592,27389.2829261873,36060.0522797067
3656,279.398757570465,33.8424671270186,871.817760026573,54.0963923525038,1.19345612897321,0.842786456796888,129.84310598394,30.8213564858939,964.771811541218,255.410095793124,2.67372601529227,1.97470735676161,5.48368364450814,4.23874909103803,345.279784070405,9.5663109467012,27411.2427533292,37108.7175213161
3657,279.79612277023,33.9015166722649,878.873113085542,53.7710779799952,1.18929498947691,0.836434965414987,130.043364403538,30.8838805684708,974.129077055533,253.485156946849,2.65828297844629,1.97120310636821,5.53477240326841,4.50915180358824,345.063831451667,10.068294663936,27473.9087613182,38182.8681331575
3658,280.192711014886,33.9608463310527,886.048953013745,53.4866535618053,1.18641566621656,0.831587478035069,130.243616759432,30.9475708729959,983.694531665925,251.618419233279,2.64628485050863,1.97124433986128,5.58470127020338,4.79212810077088,344.798754830779,10.5935820640349,27577.7704015523,39282.3332430108
3659,280.588460644785,34.0204583040221,893.344245585186,53.2429946294362,1.18481848897084,0.82824032931321,130.443932764043,31.0124169633186,993.464283905207,249.809718434348,2.63762915164762,1.97470232533925,5.63332951749157,5.08799545723495,344.480993338137,11.142628611023,27723.3171254294,40406.9419786576
3660,280.98331000028,34.0803547918134,900.757956573871,53.0399767143895,1.18450378751842,0.826389853905487,130.644382129787,31.0784084032887,1003.43444230621,248.058890331987,2.63221340203157,1.98144833090058,5.68051641731146,5.39707134762935,344.106986104138,11.7158897689254,27911.0383843474,41556.5234678788
3661,281.377197421723,34.1405379950666,908.289051753794,52.8774753481674,1.18547189163796,0.82603238646798,130.845034569084,31.1455347567557,1013.60111540175,246.365770708125,2.62993512182882,1.9913536246437,5.72612124184157,5.71967324660299,343.673172259178,12.3138210017671,28141.4236297041,42730.9068384555
3662,281.770061249467,34.201010114422,915.936496898963,52.7553660622717,1.18772313110814,0.827164261656765,131.045959794352,31.2137855875691,1023.96041172466,244.730195344696,2.63069183120767,2.00428947466706,5.77000326326041,6.05611862880492,343.175990933654,12.9368777735733,28414.9623128978,43929.9212181692
3663,282.161839823865,34.2617733505195,923.699257783379,52.6735243882041,1.19125783570763,0.82978181412792,131.247227518009,31.2831504595786,1034.50843980775,243.152000023631,2.63438105033645,2.02012714906908,5.81202444337053,6.40669267618734,342.612011144269,13.5854564558885,28732.0598409649,45153.3270090505
3664,282.552471485268,34.3228299039995,931.576300181047,52.6318258574667,1.1960763352151,0.833881378537523,131.448907452473,31.3536189366337,1045.24130818386,241.63102052686,2.64090029938349,2.03873791594823,5.85210634201874,6.77096501289087,341.980679993857,14.258644019359,29091.25932371,46399.3617534021
3665,282.94189457403,34.384181975502,939.56658986597,52.6301460015613,1.20217895940922,0.839459289541653,131.651069310163,31.425180582584,1056.1551253858,240.167092636317,2.65014709851709,2.05999304340293,5.89022888617696,7.14780448414653,341.28426322831,14.9542450776799,29489.2800369972,47664.7715864557
3666,283.330047430502,34.4458317656673,947.669092612146,52.6683603519899,1.20956603806866,0.846511881796384,131.853782803497,31.4978249612791,1067.24599994639,238.760052133932,2.66201896790559,2.08376379953163,5.92637444622387,7.53605059867307,340.52514458959,15.6700105615945,29922.7649060385,48946.240209084
3667,283.716868395037,34.5077814751353,955.88277419358,52.7463444402542,1.21823790097209,0.855035489957795,132.057117644893,31.5715416365686,1078.51004039848,237.409734801636,2.6764134277173,2.10992145243277,5.9605253925381,7.9345428651892,339.705707819659,16.4036914018461,30388.3568560459,50240.4513221598
3668,284.102295807988,34.5700333045463,964.206600384275,52.8639737978562,1.22819487789818,0.865026448681964,132.26114354677,31.646320172302,1089.94335527486,236.115976421362,2.69322799812054,2.13833727020478,5.99266409549832,8.34212079241387,338.828336660477,17.1530385291783,30882.6988122317,51544.0886265566
3669,284.486268009707,34.6325894545405,972.639536958234,53.0211239562978,1.2394372986256,0.876481092624968,132.465930221546,31.722150132329,1101.54205310836,234.878612775041,2.71236019928364,2.16888252094612,6.02277292548315,8.75762388906542,337.895414854007,17.9158028743337,31402.4336998074,52853.835823146
3670,284.868723340547,34.6954521257579,981.180549689459,53.2176704470809,1.25196549293302,0.889395756442885,132.671547381639,31.7990210804991,1113.30224243182,233.697479644603,2.73370755137492,2.20142847275522,6.05083425287125,9.17989166386277,336.909326142211,18.689735368056,31944.2044439852,54166.3766128013
3671,285.249600140859,34.7586235188388,989.828604351956,53.4534888017074,1.26577979059912,0.9037667747918,132.878064739468,31.8769225806618,1125.22003177806,232.572412811982,2.75716757456269,2.23584639373052,6.07683044804127,9.60776362552466,335.87245426705,19.4725869410883,32504.6539699771,55478.3946963953
3672,285.628836750998,34.8221058344233,998.582666719721,53.7284545516791,1.28088052140255,0.919590482327777,133.085552007451,31.9558441966668,1137.29152967988,231.503248059108,2.78263778901527,2.27200755197046,6.10074388137187,10.0400792827698,334.787182970485,20.2621085241741,33080.4252029951,56786.5737748009
3673,286.006371511314,34.8859012731515,1007.44170256676,54.0424432284979,1.297268015122,0.9368632137069,133.294078898007,32.0357754923637,1149.51284467013,230.489821167913,2.81001571490101,2.3097832155735,6.1225569232417,10.4756781443172,333.655895994478,21.0560510480569,33668.1610682514,58087.5975488916
3674,286.38214276216,34.9500120356635,1016.40467766708,54.3953303636658,1.31494260153613,0.955581303585246,133.503715123553,32.116706031602,1161.88008528162,229.531967920328,2.83919887238819,2.34904465263805,6.1422519440294,10.9133997188851,332.480977080991,21.8521654434794,34264.5044909577,59378.1497195387
3675,286.75608884389,35.0144403225996,1025.47055779467,54.7869914886845,1.33390461042362,0.975741086618894,133.714530396508,32.1986253782314,1174.38936004718,228.629524098285,2.87008478164515,2.38966313126256,6.15981131411362,11.3520835151925,331.264809971986,22.6482026411851,34866.0983963259,60654.9139876158
3676,287.128148096855,35.0791883345998,1034.63830872355,55.2173021350561,1.35415437156313,0.99733889746392,133.926594429291,32.2815230961013,1187.03677749963,227.782325483715,2.90257096284023,2.43150991954551,6.17521740387301,11.7905690419581,330.009778409423,23.4419135719173,35469.5857095684,61914.5740539957
3677,287.498258861407,35.1442582723044,1043.90689622771,55.6861378342826,1.37569221473335,1.02037107077641,134.139976934319,32.3653887490614,1199.81844617179,226.990207858551,2.93655493614171,2.47445628558528,6.18845258368622,12.2276958079007,328.718266135266,24.2310491664194,36071.6093558968,63153.8136195512
3678,287.866359477901,35.2096523363534,1053.27528608116,56.1933741178654,1.39851846971292,1.04483394121243,134.35474762401,32.4502119009612,1212.73047459648,226.253007004722,2.97193422171793,2.51837349748034,6.19949922393191,12.6623033217389,327.392656891474,25.0133603554346,36668.8122605234,64369.316385155
3679,288.232388286686,35.275372727387,1062.7424440579,56.7388865173068,1.42263346628052,1.07072384342806,134.570976210785,32.5359821156505,1225.76897130654,225.570558704161,3.00860633973724,2.56313282332915,6.20833969498872,13.0932310921917,326.03533442001,25.7865980697065,37257.8373486604,65557.7660516806
3680,288.596283628117,35.3414216460454,1072.30733593193,57.3225505641085,1.44803753421484,1.09803711207938,134.78873240706,32.6226889569785,1238.93004483478,224.9426987388,3.0464688103679,2.60860553123012,6.2149563672353,13.5193186279775,324.648682462836,26.5485132399778,37835.3275455191,66715.8463199997
3681,288.957983842546,35.4078012929686,1081.96892747725,57.9442417897725,1.47473100329453,1.12677008182246,135.008085925254,32.7103219887951,1252.20980371402,224.36926289057,3.08541915377828,2.65466288928169,6.2193316110503,13.9394054378152,323.235084761913,27.296856796992,38397.925776312,67840.2408909855
3682,289.317427270325,35.474513868797,1091.72618446788,58.6038357258009,1.50271420329828,1.15691908731341,135.229106477785,32.7988707749498,1265.6043564771,223.850086941402,3.1253548901367,2.70117616558234,6.22144779681237,14.3523310304235,321.796925059203,28.0293796714925,38942.2749662509,68927.6334655109
3683,289.674552251807,35.5415615741705,1101.5780726778,59.3012079036951,1.53198746400474,1.18848046320826,135.451863777072,32.8883248792922,1279.10981165682,223.385006673228,3.16617353961144,2.74801662823047,6.22128729490017,14.7569349145211,320.336587096667,28.7438327942225,39465.0180405479,69974.7077444487
3684,290.029297127343,35.6089466097293,1111.52355788103,60.0362338549572,1.56255111519258,1.22145054416311,135.676427535532,32.9786738656717,1292.72227778602,222.973857867979,3.20777262237085,2.79505554532453,6.21883247569233,15.152056598827,318.856454616266,29.4379670959257,39962.7979244151,70978.1474286722
3685,290.381600237288,35.6766711761137,1121.56160585156,60.8087891110892,1.59440548664049,1.25582566483404,135.902867465586,33.0699072979381,1306.43786339752,222.616476307588,3.25004965858327,2.84216418496299,6.21406570956751,15.5365355920595,317.358911359963,30.1095335073446,40432.2575430642,71934.6362190532
3686,290.731399921992,35.7447374739637,1131.6911823634,61.6187492035928,1.62755090812712,1.29160215987712,136.131253279649,33.1620147399409,1320.25267702414,222.312697773984,3.29290216841698,2.88921381524424,6.20696936690437,15.9092114029376,315.84634106972,30.756282959223,40870.0398217074,72840.857816465
3687,291.078634521809,35.8131477039194,1141.91125319055,62.46598966397,1.66198770943115,1.32877636394844,136.361654690142,33.2549857555297,1334.1628271987,222.062358049101,3.33622767204032,2.93607570426676,6.19752581808154,16.26892354018,314.321127487498,31.3759663823039,41272.7876855567,73693.4959217804
3688,291.423242377091,35.8819040666212,1152.22078410702,63.3503860237232,1.69771622033127,1.36734461170408,136.594141409482,33.348809908554,1348.16442245404,221.865292914869,3.37992368962163,2.98262112012899,6.18571743347769,16.6145115125053,312.785654355258,31.9663347073309,41637.144059824,74489.2342358722
3689,291.76519453437,35.9510035066,1162.61759793943,64.2716919115628,1.73473747549853,1.40730099349178,136.828783150087,33.4434767628635,1362.25357132296,221.72133815322,3.42388774132918,3.02872133092935,6.17152658347145,16.9448148286325,311.242305414961,32.5251388650471,41959.7518697213,75224.7564596133
3690,292.10459352066,36.0204218385658,1173.09492280869,65.2291709008731,1.77305534330684,1.44863057742737,137.065649624376,33.5389758823077,1376.42638233829,221.630329546086,3.46801734733133,3.07424760476628,6.15493563844148,17.2586729972803,309.69346440857,33.0501297861961,42237.2540404609,75896.7462938767
3691,292.441574897858,36.0901295682946,1183.64483240155,66.2219634371053,1.81267440410681,1.49131616476271,137.304810544768,33.6352968307362,1390.67896403288,221.592102875397,3.51221002779642,3.11907120973827,6.13592696876643,17.5549255271671,308.141515078047,33.5390584015206,42466.2934972543,76501.8874395346
3692,292.77627422786,36.1600972015627,1194.25940040473,67.2492099657099,1.85359923824902,1.53534055674964,137.54633562368,33.7324291719985,1405.00742493951,221.606493923086,3.55636330289271,3.16306341394369,6.11448294482495,17.8324119270119,306.588841165352,33.9896756417643,42643.5131653138,77036.8635974601
3693,293.108827072563,36.2302952441461,1204.93070050499,68.3100509321379,1.89583442608409,1.58068655464004,137.790294573531,33.8303624699444,1419.40787359103,221.673338471084,3.60037469278856,3.20609548548102,6.09058593699569,18.0899717055334,305.037826412448,34.3997324376703,42765.5559698513,77498.3584685261
3694,293.439368993862,36.3006942018209,1215.65080638904,69.4036267818388,1.93938454796259,1.6273369596857,138.036757106739,33.9290862884233,1433.87641852026,221.792472301323,3.64414171765231,3.24803869244871,6.0642183156573,18.3264443714503,303.490854561296,34.766979719982,42829.0648360789,77883.0557536053
3695,293.768035553654,36.3712645803632,1226.41179174361,70.5290779602638,1.98425418423514,1.67527457313849,138.285792935723,34.0285901912847,1448.40916826002,221.963731195734,3.68756189765223,3.28876430294518,6.03536245118841,18.5406694334815,301.950309353857,35.0891684194427,42830.6826892085,78187.6391535706
3696,294.094962313835,36.4419768855491,1237.20573025545,71.6855449128633,2.03044791525232,1.72448219625026,138.5374717729,34.1288637423784,1463.00223134313,222.186950936248,3.73053275295667,3.32814358506887,6.00400071396771,18.7314864003455,300.418574532094,35.3640494667956,42767.0524544522,78408.7923692947
3697,294.420284836303,36.5128016231549,1248.02469561129,72.8721680850877,2.07797032136474,1.77494263027285,138.79186333069,34.229896505554,1477.65171630243,222.461967304797,3.77295180373396,3.36604780691825,5.97011547437382,18.8977347807611,298.898033837968,35.589373792784,42634.8170570218,78543.1991016504
3698,294.744138682952,36.5837092989564,1258.86076149786,74.0880879223878,2.126825982923,1.8266386764581,139.049037321511,34.3316780446608,1492.35373167072,222.788616083312,3.81471657015239,3.40234823659172,5.9336891027854,19.038254083447,297.391071013441,35.7628923281512,42430.6194221295,78587.5430515105
3699,295.06665941568,36.6546704187301,1269.7060016019,75.3324448702146,2.17701948027771,1.87955313605788,139.30906345778,34.4341979235486,1507.10438598083,223.166733053726,3.85572457238031,3.43691614218774,5.8947039695811,19.1518838171221,295.900069800473,35.8823560036404,42151.1024749873,78538.5079197479
3700,295.387982596383,36.7256554882517,1280.55248961014,76.6043793740174,2.22855539377944,1.933668810324,139.572011451916,34.5374457060669,1521.8997877656,223.596153997969,3.89587333058604,3.46962279180477,5.85314244513956,19.237463490505,294.427413941028,35.9455157499951,41792.909140807,78392.7774072354
3701,295.708243786957,36.7966350132976,1291.3922992093,77.9030318792473,2.28143830377879,1.98896850050831,139.837909341414,34.6414009959089,1536.73515637315,224.076629696509,3.93509210785912,3.50038249583438,5.80898689983942,19.2938326123144,292.975487177065,35.9501224979584,41352.6823448006,78147.0352148456
3702,296.027578549299,36.8675794996438,1302.21750408614,79.227542831355,2.33567279062637,2.04543500786266,140.106618602931,34.7460035893286,1551.60215737566,224.607571207176,3.97343703320847,3.52928159042631,5.76221970405937,19.3198306912692,291.546673250547,35.8939271782736,40827.0650121803,77797.9650434516
3703,296.346122445305,36.9384594530665,1313.02017792737,80.5770526757909,2.39126343467277,2.10305113363891,140.377959107602,34.85118333901,1566.49156864137,225.188304727888,4.01099592570344,3.55644938234604,5.71282322817803,19.3142972360879,290.143355903437,35.7746807216841,40212.7000681581,77342.250593926
3704,296.664011036871,37.0092453793417,1323.79239441974,81.9507018580061,2.44821481626863,2.16179967908891,140.651750726559,34.9568700976372,1581.39416803849,225.81815645656,4.04785660441334,3.58201517835904,5.66077984257406,19.2760717554895,288.767918877694,35.5901340589331,39506.2304379459,76776.5755671417
3705,296.981379885893,37.0799077842456,1334.52622724997,83.34763082345,2.50653151576448,2.22166344546447,140.927813330937,35.0629937178942,1596.30073343526,226.496452591111,4.08410688840753,3.60610828523077,5.60607191762611,19.2039937581925,287.422745915281,35.3380381207638,38704.2990467557,76097.6236639715
3706,297.298364554269,37.1504171735542,1345.21375010481,84.7669800175738,2.56621811351095,2.28262523401744,141.20596679187,35.1694840524651,1611.20204269991,227.222519329457,4.11983459675535,3.62885800972674,5.54868946429398,19.0969634979037,286.1102037332,35.0162670521556,37803.7959063148,75302.2875933171
3707,297.615100603894,37.2207440530438,1355.84703667098,86.2078898858278,2.62727918985864,2.34466784599969,141.486030980493,35.2762709540338,1626.08887370066,227.995682869516,4.15512754852613,3.65039365861238,5.48879179737929,18.9552272463324,284.832281800841,34.6254252411157,36807.08609567,74392.0913691415
3708,297.931723596665,37.2908589284903,1366.41816063521,87.6695008736627,2.68971932515814,2.40777408266305,141.767825767938,35.3832842752844,1640.95200430574,228.815269409204,4.1900735627892,3.6708445386532,5.42670403877781,18.7803494929641,283.590600131531,34.1687909291114,35721.8966808927,73373.0946569708
3709,298.248369094478,37.3607323056699,1376.91919568425,89.150953426529,2.75354309976006,2.47192674525936,142.05117102534,35.490453868901,1655.7822123834,229.680605146439,4.22476045861394,3.69033995661468,5.36275825152153,18.5739499114683,282.386763272163,33.6497542923924,34556.179195424,72251.5469970493
3710,298.56517265923,37.4303346903589,1387.34221550483,90.651387989878,2.81875509401502,2.5371086350405,142.335886623832,35.5977095875675,1670.57027580184,230.591016279138,4.25927605506964,3.70900921926227,5.29728649864245,18.3376481755142,281.222375769627,33.0717055072086,33317.885172705,71033.6979296215
3711,298.882269852817,37.4996365883331,1397.67929378368,92.1699450091587,2.88535988827355,2.60330255325826,142.62179243455,35.704981283968,1685.3069724293,231.545829005217,4.29370817122566,3.72698163336145,5.23062084317256,18.0730639587709,280.099042170817,32.4380347498098,32014.9661461768,69725.7969949316
