"hours since 01.01.2015  1:00:00",velocity,density,temperature,status
436,322,2.5,49900,1
437,317.7,2.5,56600,0
438,312.6,2.1,62400,0
439,315.6,2.5,40700,1
440,303.1,2.7,36600,0
441,344.7,0.5,71300,1
442,293.5,2,35200,0
443,290.5,2.1,36200,0
444,315.4,1.7,69000,0
445,316.9,2.3,59400,0
446,320,2.2,30000,0
447,305.2,2.7,47600,0
448,293.2,2.2,27900,0
449,299.9,2.4,32800,0
450,,,-100000,3
451,300,2.3,24100,0
452,298.9,2.4,19900,0
453,285.7,2,22900,0
454,314,1.5,82100,0
455,292.7,2.5,32000,1
456,289.4,2,26900,0
457,286.5,2,30800,1
458,288.5,2.1,27800,0
459,303.1,1.8,56700,1
460,303.2,2.9,37900,0
461,302.5,2.6,35700,0
462,296.6,2.3,28900,0
463,298,3,32100,0
464,308.1,1.2,34000,0
465,289.6,1.8,36900,1
466,313.3,1,90600,0
467,324.7,0.9,50700,1
468,294.5,4.3,28500,0
469,288.5,5.9,14300,0
470,283.6,6.6,13900,0
471,282.4,5.9,19200,0
472,276.1,5.7,15300,0
473,274.2,4.4,18100,0
474,275.6,5.6,18500,0
475,280.7,7.6,14400,0
476,287.4,11.2,16900,0
477,290.1,16.4,23200,0
478,292.6,16.4,33900,0
479,295.2,14.5,39000,1
480,296.2,17,39000,0
481,294.2,16.8,40200,0
482,293.8,11.1,38300,1
483,292.5,14.8,48000,1
484,283.2,9.7,43500,0
485,291.2,8.7,49300,0
486,328.8,6.7,75500,0
487,346.2,5.4,117000,0
488,406.2,5.1,236000,0
489,425.4,3.4,245000,0
490,411.1,1.1,152000,1
491,412.9,0.9,180000,1
492,395.2,2.5,161000,1
493,394.5,3.3,167000,0
494,403.1,2.7,153000,0
495,453.8,4.9,269000,0
496,460,5.4,304000,0
497,483.8,4.2,320000,0
498,,,-100000,3
499,477,3.3,228000,1
500,457.9,2.3,153000,0
501,476.3,2.7,178000,1
502,470.7,1.3,210000,1
503,457.6,2.6,143000,1
504,477.4,4.8,172000,0
505,469.2,2,164000,0
506,465,2.9,138000,0
507,458,2.8,133000,0
508,455.7,4.9,95200,0
509,451.8,4.8,131000,0
510,455.9,5.7,163000,0
511,450.7,5.4,184000,0
512,459.1,3,176000,1
513,447.6,5.5,117000,0
514,478.5,1.3,100000,0
515,473.9,1.8,94800,0
516,474.1,2.5,102000,1
517,475.2,3.6,88100,0
518,475.9,3.5,85800,0
519,472.3,3.6,91900,0
520,445.4,3.1,94000,0
521,451.4,4.7,68500,0
522,448,6.2,59600,0
523,446.4,5.9,65900,0
524,440.2,5.4,79500,0
525,427.6,4.3,124000,0
526,427.9,4.5,130000,0
527,434.4,5.9,73300,0
528,423.8,3.1,71300,1
529,401.7,3.6,78100,1
530,392.8,3.6,67800,1
531,407.5,2.3,77800,0
532,406.5,5,67700,1
533,415.6,5.5,95800,0
534,419.7,4.7,85200,0
535,421,4,85100,0
536,,,-100000,3
537,429.4,3.1,75000,1
538,418.7,4.2,94400,0
539,425.9,3.8,70200,0
540,426.9,4,73700,0
541,435.7,2.8,114000,0
542,433.5,2.4,92700,0
543,436.1,2.6,96100,0
544,441.3,2.9,70100,0
545,433.5,3.5,59700,0
546,434.2,3,87700,1
547,434.6,2.2,109000,0
548,429.8,3.4,71400,0
549,423.5,3.3,65400,0
550,423.3,3.2,69300,0
551,409.7,3.8,61500,0
552,403.5,3.4,141000,0
553,401.2,4.1,111000,0
554,384.5,4.4,93700,0
555,376.6,4.4,81100,0
556,370.7,5.1,72200,0
557,369,4.8,69300,0
558,378,3.1,90300,0
559,385.5,3.7,66500,0
560,387.2,3.5,54000,0
561,387.9,3.3,70200,0
562,380.9,4.3,88000,0
563,383,3.6,78500,0
564,374.6,4.4,89600,1
565,376.1,4.1,62200,0
566,373.8,5.5,46000,0
567,376,5.7,60900,0
568,370.3,5.1,52900,0
569,360.9,5.3,49600,0
570,358.2,5.5,41100,0
571,360.3,7.7,42800,0
572,361.7,6.3,52600,0
573,366.3,7.7,45500,0
574,358.7,6.6,57500,0
575,355.1,5.8,53800,0
576,363.3,5.4,47100,0
577,367.2,8.2,49700,0
578,364.2,8.9,50900,0
579,363.1,6.4,45900,0
580,362.9,4.9,81200,1
581,362.8,7.4,77700,0
582,359.7,6.9,40400,0
583,360,5.7,40800,0
584,350.6,5,54000,0
585,356.5,5.5,44200,0
586,348.9,4.9,44700,0
587,344.6,6.3,40500,0
588,346.9,6.1,51700,1
589,347,4.2,61800,1
590,339.5,6.7,78200,0
591,334.7,8.7,59800,0
592,339.8,4.8,49900,0
593,341.1,5.9,38600,0
594,343,6,34900,0
595,354.9,11.5,39800,0
596,360.8,10.7,36800,0
597,368.3,10.5,38100,0
598,359.8,15.1,31200,0
599,354.4,10.7,23800,0
600,358.8,7.7,31900,0
601,352.7,11,68800,0
602,344.5,8.4,69900,0
603,350.4,12.4,83300,1
604,367.5,17.1,71600,0
605,365.4,16.6,26800,0
606,371.3,21.8,47600,0
607,383.6,26.7,56800,0
608,373.5,23.1,63600,0
609,369.1,17.7,68800,0
610,366.3,13.2,85000,0
611,365.7,14.5,58100,0
612,357.9,13.5,52800,0
613,355.5,13,41200,0
614,364.7,7.6,28700,0
615,363,4.2,40100,0
616,361,3.9,35100,0
617,362.4,3.5,36700,0
618,363.9,3,36000,0
619,369.2,3.6,40500,0
620,370.6,4.8,41200,0
621,368,5,41000,0
622,366.8,5.3,34200,0
623,373.4,6.6,48900,0
624,380.3,9.1,82900,0
625,375.9,12.1,77800,0
626,391.2,7.3,72100,0
627,424,7.5,118000,0
628,427.8,7.3,91900,0
629,471.6,5,105000,0
630,466.2,5.1,147000,0
631,457.8,5.7,143000,0
632,442.8,5.4,120000,0
633,448.9,5.1,132000,0
634,452.6,4.2,127000,0
635,457.3,3.3,119000,0
636,467.2,3.5,131000,0
637,475.4,3.5,149000,0
638,476.7,3,156000,0
639,478.6,2.6,192000,0
640,482.6,2.7,87800,0
641,477,1.9,91100,0
642,481.4,3.4,128000,0
643,479.3,3.6,123000,0
644,,,-100000,9
645,464.8,4.7,102000,0
646,458.4,4.6,92300,0
647,451.3,4.1,96500,0
648,439.4,4.5,73300,1
649,455.8,3.1,123000,0
650,512.7,1.7,263000,1
651,493.2,1.8,213000,1
652,470.4,2,190000,0
653,479.3,0.8,201000,0
654,470.5,0.5,169000,0
655,475.3,0.9,156000,0
656,472.6,1.5,150000,0
657,456,1.7,135000,0
658,434.1,1.1,93100,0
659,430.8,1.2,167000,0
660,425.2,1.9,145000,0
661,427.7,1.8,171000,0
662,429.4,1.1,207000,1
663,414,0.8,110000,0
664,414.7,1.2,151000,1
665,425.8,1.2,206000,0
666,431.5,1.3,189000,0
667,423.4,0.9,148000,1
668,414.5,0.8,135000,0
669,399.4,1.3,73200,0
670,395.6,1.8,56100,0
671,393,1.5,52300,0
672,386.4,1.2,69300,0
673,374.2,0.2,58100,0
674,366.2,0.1,38600,0
675,375.2,0.8,48200,0
676,383.9,0.9,113000,0
677,378.5,0.7,102000,0
678,380.7,1.1,57300,0
679,377.3,1.2,69600,0
680,365.9,1.3,41900,0
681,,,-100000,3
682,376.6,1.5,59900,0
683,376.8,1.1,58800,0
684,368.1,0.5,108000,0
685,359,0.5,73100,0
686,386.1,3.6,56200,0
687,392.7,2.3,83000,0
688,408,0.5,96800,0
689,415.4,1.1,87400,0
690,406.2,1.3,93000,0
691,411.5,0.9,94800,0
692,409.7,1.8,98000,0
693,400.8,3,87800,0
694,396.2,2.5,77400,0
695,396,3,94800,0
696,398.3,4.2,96300,0
697,378.5,4.4,68700,0
698,378.6,3.4,70200,0
699,398.3,2.2,87600,0
700,396.1,1.9,123000,1
701,412.7,2.9,125000,0
702,406.8,2.4,92900,0
703,423.5,1.3,61900,0
704,424.2,0.9,96100,1
705,410.5,0.4,100000,1
706,400.7,0.3,89400,0
707,407.5,1.4,128000,0
708,406.7,2,71300,0
709,399.5,1.9,86300,0
710,401.2,1.4,108000,0
711,398,1.1,106000,0
712,399.1,1.4,81600,0
713,407.5,2.4,66400,0
714,404.5,1.2,70300,0
715,411.5,1.5,87100,0
716,414.3,1.1,100000,0
717,419.8,1.8,87600,0
718,424.5,4.4,114000,0
719,421.6,2.8,92500,0
720,418.8,3.3,89700,0
721,413.6,2.6,75800,0
722,403,2,69600,0
723,408.7,2.8,71200,0
724,407,2.4,58800,0
725,408.1,2,109000,0
726,427.1,1.3,130000,0
727,434.9,0.9,118000,0
728,426.2,1.1,78800,0
729,421.6,2.5,85200,0
730,404.2,1,107000,0
731,401.7,0.5,108000,0
732,406.2,0.4,112000,1
733,407.7,0.3,118000,1
734,407.4,0.4,110000,0
735,,,-100000,3
736,409.9,0.3,115000,0
737,405.8,0.2,118000,0
738,398.4,0.4,101000,0
739,395.2,0.8,97200,0
740,393.5,1.6,61500,0
741,410.8,6.1,93900,0
742,405.3,2.9,99300,0
743,408.7,5,105000,0
744,425,3.3,207000,1
745,459.4,3.2,247000,0
746,454.9,2.9,178000,0
747,451.7,1.5,108000,0
748,463.2,3.4,84900,0
749,487.4,7.9,173000,0
750,480,8.6,171000,0
751,475,7.4,162000,0
752,483.1,5.7,150000,0
753,527.9,3,134000,0
754,541.8,3.2,233000,0
755,544.6,3.2,254000,0
756,552.8,3.1,215000,0
757,554.1,1.6,191000,0
758,554.3,2.6,192000,0
759,568.7,3.7,206000,0
760,559.2,2.9,330000,1
761,582.1,1.9,356000,0
762,640.1,1.4,384000,0
763,,,-100000,9
764,646.1,3,326000,0
765,647.7,3.1,449000,0
766,632.3,2.6,437000,1
767,591.1,1.6,389000,1
768,574.1,1.4,401000,1
769,565.8,1.3,399000,1
770,581.7,1,426000,1
771,642.7,1.3,423000,0
772,685.6,1.8,166000,0
773,673.6,2.1,173000,0
774,675.2,2.5,182000,0
775,664.3,1.3,204000,0
776,664.5,1.7,172000,1
777,661.9,1.3,201000,0
778,668.2,1.2,238000,0
779,685.2,2.2,153000,0
780,685.1,1.3,220000,0
781,708.7,0.5,249000,0
782,692.6,0.9,249000,0
783,680.4,1.9,203000,0
784,674.3,1.9,174000,0
785,663.4,1.7,172000,1
786,660.2,1.5,165000,0
787,655.7,1,216000,0
788,636,1.4,149000,1
789,644.3,1.7,151000,0
790,654.2,1.4,187000,1
791,666.1,1.5,250000,0
792,666,1.5,195000,0
793,642.9,0.9,229000,0
794,,,-100000,3
795,649.1,1.1,233000,0
796,638,1,264000,0
797,646.2,1.2,210000,0
798,643.7,1.6,198000,0
799,611.9,1.2,145000,0
800,590,1.1,118000,0
801,567.1,1.1,90300,0
802,567.3,1.7,81100,0
803,569.3,1.5,108000,1
